,index,Unnamed: 0,t,w,D1,t2,d_out,ms1,ms2,ms3,ms4,ms5,weight
0,154,154,6.05028,16.06408577884332,10.723778036184838,0.8,0.1,7.045368139853084,0.5283527191646706,0.5283527191646706,2.885504886631704,1.7313036767753505,15.829811664393135
1,153,153,6.05028,16.06503695981671,10.727650579847149,0.8,0.1,7.04582565811935,0.5284432154483314,0.5284432154483314,2.8857790702727844,1.7314551292332072,15.829812368740312
2,155,155,6.05028,16.063143986617888,10.719913844545358,0.8,0.1,7.044915135124231,0.5282631161356304,0.5282631161356304,2.8852334120608605,1.7311537196369962,15.829827351105887
3,152,152,6.05028,16.065997541962993,10.731531490612806,0.8,0.1,7.0462876958256935,0.5285346061687328,0.5285346061687328,2.886055966646149,1.7316080790003534,15.82982948308984
4,156,156,6.05028,16.06221157076454,10.716057989895912,0.8,0.1,7.044466638052896,0.5281744051837571,0.5281744051837571,2.88496464291325,1.731005255836291,15.829859410043982
5,151,151,6.05028,16.066967537756366,10.735420783610204,0.8,0.1,7.046754258897591,0.5286268925126818,0.5286268925126818,2.886335579428927,1.7317625280745332,15.829863026492378
6,157,157,6.05028,16.0612885189563,10.71221045725124,0.8,0.1,7.0440226427818295,0.5280865851362508,0.5280865851362508,2.884698575556849,1.7308582833992898,15.829907822480305
7,150,150,6.05028,16.067946959720388,10.739318474015777,0.8,0.1,7.047225353283416,0.5287200756716826,0.5287200756716826,2.886617912313383,1.7319184784614712,15.829913018107131
8,158,158,6.05028,16.06037481891498,10.70837123167348,0.8,0.1,7.043583143476409,0.5279996548249528,0.5279996548249528,2.8844352063745817,1.730712800359925,15.82997256979493
9,149,149,6.05028,16.06893582042819,10.743224577054166,0.8,0.1,7.047700984954519,0.5288141568419547,0.5288141568419547,2.8869029690069667,1.732075932174908,15.829979477202269
10,159,159,6.05028,16.05947045841097,10.704540298271985,0.8,0.1,7.043148134324534,0.527913613086326,0.527913613086326,2.884174531764266,1.7305688047599954,15.830053633474662
11,148,148,6.05028,16.069934132502606,10.747139107998391,0.8,0.1,7.0481811599052655,0.5289091372244463,0.5289091372244463,2.887190753232363,1.7322348912366134,15.830062423155224
12,160,160,6.05028,16.058575425263115,10.700717642203168,0.8,0.1,7.04271760953657,0.527828458761443,0.527828458761443,2.883916548138556,1.7304262946491198,15.830150995112769
13,147,147,6.05028,16.070941908616344,10.751062082170016,0.8,0.1,7.0486658841531575,0.5290050180248527,0.5290050180248527,2.887481268727527,1.7323953576764182,15.830161875453124
14,161,161,6.05028,16.057689707338547,10.69690324867036,0.8,0.1,7.042291563345268,0.5277441906959714,0.5277441906959714,2.883661251924909,1.7302852680847307,15.830264636408597
15,146,146,6.05028,16.07195916149217,10.75499351493931,0.8,0.1,7.049155163738888,0.529101800453629,0.529101800453629,2.887774519245767,1.732557333532248,15.830277853693152
16,162,162,6.05028,16.05681329255252,10.693097102923613,0.8,0.1,7.041869990005703,0.5276608077401566,0.5276608077401566,2.8834086395655305,1.7301457231320412,15.830394539167186
17,145,145,6.05028,16.072985903903028,10.758933421725429,0.8,0.1,7.0496490047263975,0.5291994857260056,0.5291994857260056,2.888070508555757,1.7327208208501317,15.830410377582863
18,163,163,6.05028,16.055946168868292,10.68929919025957,0.8,0.1,7.041452883795197,0.5275783087488111,0.5275783087488111,2.883158707517333,1.7300076578640242,15.830540685299026
19,144,144,6.05028,16.07402214867224,10.76288181799656,0.8,0.1,7.05014741320298,0.5292980750620067,0.5292980750620067,2.8883692404416075,1.7328858216842429,15.830559466940636
20,164,164,6.05028,16.055088324296925,10.685509496021297,0.8,0.1,7.041040239013245,0.5274966925812961,0.5274966925812961,2.882911452251881,1.7298710703613809,15.83070305681959
21,143,143,6.05028,16.07506790867365,10.766838719270138,0.8,0.1,7.050650395279341,0.5293975696864615,0.5293975696864615,2.888670718702916,1.7330523380969214,15.830725141695964
22,165,165,6.05028,16.05423974689716,10.68172800559812,0.8,0.1,7.040632049981458,0.5274159581015077,0.5274159581015077,2.882666870255341,1.7297359587125207,15.830881635849076
23,142,142,6.05028,16.07612319683182,10.770804141112974,0.8,0.1,7.05115795708967,0.5294979708290259,0.5294979708290259,2.888974947154812,1.7332203721587,15.830907421889952
24,1047,1047,6.05028,16.06408577884332,10.723778036184838,0.8,0.3,7.045368139853084,0.5283527191646706,0.5283527191646706,2.870235625361561,1.725984048176147,15.83093761120018
25,1046,1046,6.05028,16.06503695981671,10.727650579847149,0.8,0.3,7.04582565811935,0.5284432154483314,0.5284432154483314,2.870511445857371,1.7261363144220114,15.83093831554736
26,1048,1048,6.05028,16.063143986617888,10.719913844545358,0.8,0.3,7.044915135124231,0.5282631161356304,0.5282631161356304,2.8699625298783267,1.7258332851237403,15.830953297912933
27,1045,1045,6.05028,16.065997541962993,10.731531490612806,0.8,0.3,7.0462876958256935,0.5285346061687328,0.5285346061687328,2.87078999504277,1.726290085857018,15.830955429896884
28,1049,1049,6.05028,16.06221157076454,10.716057989895912,0.8,0.3,7.044466638052896,0.5281744051837571,0.5281744051837571,2.869692155745704,1.7256840232770267,15.830985356851029
29,1044,1044,6.05028,16.066967537756366,10.735420783610204,0.8,0.3,7.046754258897591,0.5286268925126818,0.5286268925126818,2.871071276609873,1.7264453644847988,15.830988973299425
30,1050,1050,6.05028,16.0612885189563,10.71221045725124,0.8,0.3,7.0440226427818295,0.5280865851362508,0.5280865851362508,2.869424499316722,1.7255362606561402,15.83103376928735
